phone,email,shortcode,user_id,name,platform
true,true,Cjc6iM85RyTq,766MFJ6xnVpp,true,name
false,false,JPKB3CauFQY9,Gn2IOyHyHYtq,false,
false,false,di74IsjkPVOh,PTE5RnX1uUma,false,
false,false,7VG4uYW3174k,ma243g5lE6id,false,
false,false,PwAtOlFLPdSI,ML6uGmd3ZhUk,false,
false,true,lwSzYcGLufOr,a32xcu2D7OAy,true,x
false,false,kg70gwErEay5,aj5GA7RJxaIC,false,
false,false,ShVmS3vHUN6U,TUT7TJTESdNf,false,
false,false,C40WWJLHtS5W,IdWk8SeBBNzV,false,
false,true,e3fF6PbtK6z0,32ZzsDPNJPJz,true,name
false,true,jrxvl82P0tCH,WX6rdpCMIww9,true,name
false,true,YpVdlFXDRfzt,ZO7Xb3i1Nu4b,true,instagram
false,false,BRfXsiB2U3pf,tX6oFCI83kTA,false,
false,false,btkzR1ZbPyQt,aEHyzdJVW3pk,false,
false,true,7q9gidRZMnEX,ouXjNdnRK3ag,true,instagram
false,true,CzYtBzQgCsmO,mDxml28YNB5n,true,instagram
false,true,5D7O2fNg3ojz,jWWzQTPcTf4Q,true,name
false,false,8m7Ma5aNbroc,ziUDMH4YxRBW,false,
false,false,5yyKBWCWTRYd,1ezQfaN0cXOR,false,
false,true,zgqYlU1asUSy,TJUOv2Y7MjIT,true,name
false,true,bMxdhezN1fkW,mu9rB3dWrqYK,true,name
false,true,c25VBprjAXYc,kwAYri3T85VM,true,name
false,true,wAFg3Jkidpog,Wot0ReSLSvTr,false,
false,false,p9h8kPTICCvV,Q9J6DqNT2HS1,false,
true,false,QqxKFHLXz191,o56rUPtRlfvg,true,youtube
false,true,dEypJGM11izL,YQSEptyXY9af,true,name
false,false,uH3ZgUJdACUs,PNGw6noPqkdr,false,
false,false,d6o2YuunCj5i,KLMAqwCGb1od,false,
false,false,Z3INZWdLchGK,99b4M7J22Ma1,false,
false,true,30IiWrsRcOxo,8k2sbCnUVCUn,true,name
false,false,1ex5o7DxK6Dr,VcqjQxkZSseB,false,
false,false,34ZRtwIOHN7I,eFqklPElNW5i,false,
false,true,rxmCB3RxD4Kw,TFN9TtGRd3UJ,true,name
false,true,06rLHPTPE4a1,xMqglN5ODzNH,true,name
